#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
blmbycar;blmbycar;Arcade;;;;;;;;;;;;;;
block;block;Arcade;;;;;;;;;;;;;;
bloodbro;bloodbro;Arcade;;;;;;;;;;;;;;
bloodstm;bloodstm;Arcade;;;;;;;;;;;;;;
bloodwar;bloodwar;Arcade;;;;;;;;;;;;;;
blstroid;blstroid;Arcade;;;;;;;;;;;;;;
blswhstl;blswhstl;Arcade;;;;;;;;;;;;;;
bluehawk;bluehawk;Arcade;;;;;;;;;;;;;;
blueprnt;blueprnt;Arcade;;;;;;;;;;;;;;
bmaster;bmaster;Arcade;;;;;;;;;;;;;;
bnzabros;bnzabros;Arcade;;;;;;;;;;;;;;
bogeyman;bogeyman;Arcade;;;;;;;;;;;;;;
boggy84;boggy84;Arcade;;;;;;;;;;;;;;
bombjack;bombjack;Arcade;;;;;;;;;;;;;;
bombkick;bombkick;Arcade;;;;;;;;;;;;;;
bonkadv;bonkadv;Arcade;;;;;;;;;;;;;;
bonzeadv;bonzeadv;Arcade;;;;;;;;;;;;;;
boogwing;boogwing;Arcade;;;;;;;;;;;;;;
boomrang;boomrang;Arcade;;;;;;;;;;;;;;
borench;borench;Arcade;;;;;;;;;;;;;;
bosco;bosco;Arcade;;;;;;;;;;;;;;
bottom9;bottom9;Arcade;;;;;;;;;;;;;;
bouldash;bouldash;Arcade;;;;;;;;;;;;;;
brain;brain;Arcade;;;;;;;;;;;;;;
brkthru;brkthru;Arcade;;;;;;;;;;;;;;
brutforc;brutforc;Arcade;;;;;;;;;;;;;;
bssoccer;bssoccer;Arcade;;;;;;;;;;;;;;
btime;btime;Arcade;;;;;;;;;;;;;;
btlecity;btlecity;Arcade;;;;;;;;;;;;;;
btoads;btoads;Arcade;;;;;;;;;;;;;;
bublbob2;bublbob2;Arcade;;;;;;;;;;;;;;
bublbobl;bublbobl;Arcade;;;;;;;;;;;;;;
buckrog;buckrog;Arcade;;;;;;;;;;;;;;
bucky;bucky;Arcade;;;;;;;;;;;;;;
bullfgt;bullfgt;Arcade;;;;;;;;;;;;;;
burglarx;burglarx;Arcade;;;;;;;;;;;;;;
burnforc;burnforc;Arcade;;;;;;;;;;;;;;
bwidow;bwidow;Arcade;;;;;;;;;;;;;;
bwings;bwings;Arcade;;;;;;;;;;;;;;
cabal;cabal;Arcade;;;;;;;;;;;;;;
cadash;cadash;Arcade;;;;;;;;;;;;;;
cairblad;cairblad;Arcade;;;;;;;;;;;;;;
calibr50;calibr50;Arcade;;;;;;;;;;;;;;
cameltry;cameltry;Arcade;;;;;;;;;;;;;;
canvas;canvas;Arcade;;;;;;;;;;;;;;
capbowl;capbowl;Arcade;;;;;;;;;;;;;;
captaven;captaven;Arcade;;;;;;;;;;;;;;
captcomm;captcomm;Arcade;;;;;;;;;;;;;;
carnival;carnival;Arcade;;;;;;;;;;;;;;
cavelon;cavelon;Arcade;;;;;;;;;;;;;;
cawing;cawing;Arcade;;;;;;;;;;;;;;
cbasebal;cbasebal;Arcade;;;;;;;;;;;;;;
cbuster;cbuster;Arcade;;;;;;;;;;;;;;
ccastles;ccastles;Arcade;;;;;;;;;;;;;;
centiped;centiped;Arcade;;;;;;;;;;;;;;
cerberus;cerberus;Arcade;;;;;;;;;;;;;;
chaknpop;chaknpop;Arcade;;;;;;;;;;;;;;
challeng;challeng;Arcade;;;;;;;;;;;;;;
chameleo;chameleo;Arcade;;;;;;;;;;;;;;
champbwl;champbwl;Arcade;;;;;;;;;;;;;;
champwr;champwr;Arcade;;;;;;;;;;;;;;
changes;changes;Arcade;;;;;;;;;;;;;;
charlien;charlien;Arcade;;;;;;;;;;;;;;
chasehq;chasehq;Arcade;;;;;;;;;;;;;;
cheesech;cheesech;Arcade;;;;;;;;;;;;;;
